| model                          |       size |     params | backend    | ngl |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | --------------: | -------------------: |
| qwen3 1.7B Q1_0                | 231.13 MiB |     1.72 B | CUDA       |  99 |           pp256 |      1388.71 ± 17.86 |
| qwen3 1.7B Q1_0                | 231.13 MiB |     1.72 B | CUDA       |  99 |           pp512 |       1299.77 ± 5.16 |
| qwen3 1.7B Q1_0                | 231.13 MiB |     1.72 B | CUDA       |  99 |          pp1024 |       1156.67 ± 0.88 |
| qwen3 1.7B Q1_0                | 231.13 MiB |     1.72 B | CUDA       |  99 |          pp2048 |       1025.62 ± 0.21 |
| qwen3 1.7B Q1_0                | 231.13 MiB |     1.72 B | CUDA       |  99 |           tg128 |         25.20 ± 0.01 |
| qwen3 1.7B Q1_0                | 231.13 MiB |     1.72 B | CUDA       |  99 |           tg256 |         25.20 ± 0.00 |
| qwen3 1.7B Q1_0                | 231.13 MiB |     1.72 B | CUDA       |  99 |           tg512 |         24.14 ± 0.01 |

build: c85e97a44 (8859)
