combo,prompt_tokens,gen_tokens,15W_tok_s,15W_avg_W,15W_tok_J,25W_tok_s,25W_avg_W,25W_tok_J,MAXN_tok_s,MAXN_avg_W,MAXN_tok_J
pp256+tg128,256,128,0.000,0.000,0.000,25.615,3.218,7.960,24.060,2.468,9.747
pp256+tg256,256,256,0.000,0.000,0.000,25.863,3.218,8.037,24.374,2.468,9.874
pp256+tg512,256,512,0.000,0.000,0.000,25.898,3.218,8.048,24.364,2.468,9.870
pp512+tg128,512,128,0.000,0.000,0.000,24.521,3.218,7.620,23.075,2.468,9.348
pp512+tg256,512,256,0.000,0.000,0.000,25.236,3.218,7.842,23.706,2.468,9.604
pp512+tg512,512,512,0.000,0.000,0.000,25.485,3.218,7.919,23.899,2.468,9.682
pp1024+tg128,1024,128,0.000,0.000,0.000,22.720,3.218,7.060,21.407,2.468,8.672
pp1024+tg256,1024,256,0.000,0.000,0.000,24.029,3.218,7.467,22.562,2.468,9.140
pp1024+tg512,1024,512,0.000,0.000,0.000,24.613,3.218,7.648,23.042,2.468,9.335
pp2048+tg128,2048,128,0.000,0.000,0.000,19.721,3.218,6.128,18.575,2.468,7.525
pp2048+tg256,2048,256,0.000,0.000,0.000,21.857,3.218,6.792,20.481,2.468,8.297
pp2048+tg512,2048,512,0.000,0.000,0.000,22.983,3.218,7.142,21.534,2.468,8.724
