mode,combo,prompt_tokens,gen_tokens,tok_s,avg_W,energy_J,tok_J,n
MAXN,pp256+tg128,256,128,24.060,2.468,13.130,9.747,19
MAXN,pp256+tg256,256,256,24.374,2.468,25.925,9.874,19
MAXN,pp256+tg512,256,512,24.364,2.468,51.873,9.870,19
MAXN,pp512+tg128,512,128,23.075,2.468,13.692,9.348,19
MAXN,pp512+tg256,512,256,23.706,2.468,26.654,9.604,19
MAXN,pp512+tg512,512,512,23.899,2.468,52.883,9.682,19
MAXN,pp1024+tg128,1024,128,21.407,2.468,14.760,8.672,19
MAXN,pp1024+tg256,1024,256,22.562,2.468,28.005,9.140,19
MAXN,pp1024+tg512,1024,512,23.042,2.468,54.849,9.335,19
MAXN,pp2048+tg128,2048,128,18.575,2.468,17.011,7.525,19
MAXN,pp2048+tg256,2048,256,20.481,2.468,30.853,8.297,19
MAXN,pp2048+tg512,2048,512,21.534,2.468,58.751,8.724,19
